更新时间,#genre#
2026-01-02 04:57:23,url


央视频道,#genre#
CCTV-4欧洲高清,http://113.104.237.144:7088/udp/239.253.43.120:5146
CCTV-4欧洲高清,http://113.111.110.220:4022/udp/239.253.43.120:5146
CCTV-4美洲高清,http://113.104.237.144:7088/udp/239.253.43.121:5146
CCTV-4美洲高清,http://113.104.187.200:7088/udp/239.253.43.121:5146
CCTV-4美洲高清,http://113.104.237.144:7088/udp/239.253.43.121:5146
CCTV-4美洲高清,http://113.111.110.220:4022/udp/239.253.43.121:5146
CCTV-4高清,http://113.104.187.200:7088/udp/239.77.1.163:5146
CCTV-4高清,http://113.104.187.200:7088/udp/239.77.0.78:5146
CCTV-4高清,http://113.104.237.144:7088/udp/239.77.1.163:5146
CCTV-4高清,http://113.104.237.144:7088/udp/239.77.0.78:5146
CCTV-4高清,http://113.111.110.220:4022/udp/239.77.1.163:5146
CCTV-4高清,http://113.111.110.220:4022/udp/239.77.0.78:5146
CCTV-5 体育,http://222.189.167.56:4022/udp/239.49.8.75:8000
CCTV-5 体育,http://180.109.94.130:4022/udp/239.49.8.75:8000
CCTV-5 体育,http://222.189.167.56:4022/udp/239.49.8.75:8000
CCTV-5+ 体育赛事,http://222.189.167.56:4022/udp/239.49.8.18:9610
CCTV-5+ 体育赛事,http://180.109.94.130:4022/udp/239.49.8.18:9610
CCTV-5+ 体育赛事,http://222.189.167.56:4022/udp/239.49.8.18:9610
CCTV-5+高清,http://113.104.187.200:7088/udp/239.77.0.87:5146
CCTV-5+高清,http://113.104.187.200:7088/udp/239.77.1.31:5146
CCTV-5+高清,http://113.104.237.144:7088/udp/239.77.0.87:5146
CCTV-5+高清,http://113.104.237.144:7088/udp/239.77.1.31:5146
CCTV-5+高清,http://113.111.110.220:4022/udp/239.77.0.87:5146
CCTV-5+高清,http://113.111.110.220:4022/udp/239.77.1.31:5146
CCTV-5超清 (CAVS),http://113.104.187.200:7088/udp/239.77.0.177:5146
CCTV-5超清 (CAVS),http://113.104.237.144:7088/udp/239.77.0.177:5146
CCTV-5超清 (CAVS),http://113.111.110.220:4022/udp/239.77.0.177:5146
CCTV-5高清,http://113.104.187.200:7088/udp/239.77.0.170:5146
CCTV-5高清,http://113.104.237.144:7088/udp/239.77.0.170:5146
CCTV-5高清,http://113.111.110.220:4022/udp/239.77.0.170:5146
CCTV-6 电影,http://222.189.167.56:4022/udp/239.49.8.76:8000
CCTV-6 电影,http://180.109.94.130:4022/udp/239.49.8.76:8000
CCTV-6 电影,http://222.189.167.56:4022/udp/239.49.8.76:8000
CCTV-6超清 (CAVS),http://113.111.110.220:4022/udp/239.77.0.178:5146
CCTV-6超清 (CAVS),http://113.104.187.200:7088/udp/239.77.0.178:5146
CCTV-6超清 (CAVS),http://113.104.237.144:7088/udp/239.77.0.178:5146
CCTV-6超清 (CAVS),http://113.111.110.220:4022/udp/239.77.0.178:5146
CCTV-6高清,http://113.104.187.200:7088/udp/239.77.0.171:5146
CCTV-6高清,http://113.104.237.144:7088/udp/239.77.0.171:5146
CCTV-6高清,http://113.111.110.220:4022/udp/239.77.0.171:5146
CCTV-7 国防军事,http://222.189.167.56:4022/udp/239.49.0.126:8000
CCTV-7 国防军事,http://180.109.94.130:4022/udp/239.49.0.126:8000
CCTV-7 国防军事,http://222.189.167.56:4022/udp/239.49.0.126:8000
CCTV-7高清 (CAVS),http://113.104.187.200:7088/udp/239.77.1.167:5146
CCTV-7高清 (CAVS),http://113.104.237.144:7088/udp/239.77.1.167:5146
CCTV-7高清 (CAVS),http://113.111.110.220:4022/udp/239.77.1.167:5146
CCTV-7高清测试(CCTV -7军事农业高清),http://113.111.110.220:4022/udp/239.77.0.138:5146
CCTV-7高清测试(CCTV -7军事农业高清),http://113.104.187.200:7088/udp/239.77.0.138:5146
CCTV-7高清测试(CCTV -7军事农业高清),http://113.104.237.144:7088/udp/239.77.0.138:5146
CCTV-7高清测试(CCTV -7军事农业高清),http://113.111.110.220:4022/udp/239.77.0.138:5146
CCTV-8 电视剧,http://180.109.94.130:4022/udp/239.49.8.77:8000
CCTV-8 电视剧,http://222.189.167.56:4022/udp/239.49.8.77:8000
CCTV-8超清 (CAVS),http://113.104.237.144:7088/udp/239.77.0.181:5146
CCTV-8超清 (CAVS),http://113.104.187.200:7088/udp/239.77.0.181:5146
CCTV-8超清 (CAVS),http://113.104.237.144:7088/udp/239.77.0.181:5146
CCTV-8超清 (CAVS),http://113.111.110.220:4022/udp/239.77.0.181:5146
CCTV-8高清,http://113.111.110.220:4022/udp/239.77.0.172:5146
CCTV-8高清,http://113.104.187.200:7088/udp/239.77.0.172:5146
CCTV-8高清,http://113.104.237.144:7088/udp/239.77.0.172:5146
CCTV-8高清,http://113.111.110.220:4022/udp/239.77.0.172:5146
CCTV-9 纪录,http://180.109.94.130:4022/udp/239.49.8.53:9814
CCTV-9 纪录,http://222.189.167.56:4022/udp/239.49.8.53:9814
CCTV-9高清,http://113.104.187.200:7088/udp/239.77.1.160:5146
CCTV-9高清,http://113.104.237.144:7088/udp/239.77.1.160:5146
CCTV-9高清,http://113.111.110.220:4022/udp/239.77.1.160:5146
CCTV-9高清 (CAVS),http://113.104.237.144:7088/udp/239.77.1.168:5146
CCTV-9高清 (CAVS),http://113.104.187.200:7088/udp/239.77.1.168:5146
CCTV-9高清 (CAVS),http://113.104.237.144:7088/udp/239.77.1.168:5146
CCTV-9高清 (CAVS),http://113.111.110.220:4022/udp/239.77.1.168:5146
CCTV-9高清测试,http://113.111.110.220:4022/udp/239.77.0.135:5146
CCTV-9高清测试,http://113.104.187.200:7088/udp/239.77.0.135:5146
CCTV-9高清测试,http://113.104.237.144:7088/udp/239.77.0.135:5146
CCTV-9高清测试,http://113.111.110.220:4022/udp/239.77.0.135:5146
CCTV-10 科教,http://180.109.94.130:4022/udp/239.49.8.54:9818
CCTV-10 科教,http://222.189.167.56:4022/udp/239.49.8.54:9818
CCTV-10高清,http://113.104.187.200:7088/udp/239.77.1.113:5146
CCTV-10高清,http://113.104.237.144:7088/udp/239.77.1.113:5146
CCTV-10高清,http://113.111.110.220:4022/udp/239.77.1.113:5146
CCTV-10高清测试(CCTV-10科教高清),http://113.104.237.144:7088/udp/239.77.0.134:5146
CCTV-10高清测试(CCTV-10科教高清),http://113.104.187.200:7088/udp/239.77.0.134:5146
CCTV-10高清测试(CCTV-10科教高清),http://113.104.237.144:7088/udp/239.77.0.134:5146
CCTV-10高清测试(CCTV-10科教高清),http://113.111.110.220:4022/udp/239.77.0.134:5146
CCTV-11 戏曲,http://180.109.94.130:4022/udp/239.49.0.127:8000
CCTV-11 戏曲,http://222.189.167.56:4022/udp/239.49.0.127:8000
CCTV-11高清,http://113.104.187.200:7088/udp/239.77.1.108:5146
CCTV-11高清,http://113.104.237.144:7088/udp/239.77.1.108:5146
CCTV-11高清,http://113.111.110.220:4022/udp/239.77.1.108:5146
CCTV-12 社会与法,http://180.109.94.130:4022/udp/239.49.8.55:9822
CCTV-12 社会与法,http://222.189.167.56:4022/udp/239.49.8.55:9822
CCTV-12高清,http://113.104.187.200:7088/udp/239.77.1.109:5146
CCTV-12高清,http://113.104.237.144:7088/udp/239.77.1.109:5146
CCTV-12高清,http://113.111.110.220:4022/udp/239.77.1.109:5146
CCTV-12高清 (CAVS),http://113.111.110.220:4022/udp/239.77.1.190:5146
CCTV-12高清 (CAVS),http://113.104.187.200:7088/udp/239.77.1.170:5146
CCTV-12高清 (CAVS),http://113.104.187.200:7088/udp/239.77.1.190:5146
CCTV-12高清 (CAVS),http://113.104.237.144:7088/udp/239.77.1.170:5146
CCTV-12高清 (CAVS),http://113.104.237.144:7088/udp/239.77.1.190:5146
CCTV-12高清 (CAVS),http://113.111.110.220:4022/udp/239.77.1.170:5146
CCTV-12高清 (CAVS),http://113.111.110.220:4022/udp/239.77.1.190:5146
CCTV-12高清测试,http://113.104.187.200:7088/udp/239.77.0.136:5146
CCTV-12高清测试,http://113.104.237.144:7088/udp/239.77.0.136:5146
CCTV-12高清测试,http://113.111.110.220:4022/udp/239.77.0.136:5146
